# emoji	name	group	subgroup	version	codes	terms
🧏🏾	deaf person: medium-dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafpersonmediumdarkskintone,deaf,person,medium,dark,skin,tone,deafperson,personmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|中深肤色|深肤色|人物|人|身体|手势
🧏🏿	deaf person: dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafpersondarkskintone,deaf,person,dark,skin,tone,deafperson,persondark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|深肤色|人物|人|身体|手势
🧏‍♂️	deaf man	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,renwu,rw,ren,shenti,st,shoushi,ss,deafman,deaf,man,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|人物|人|身体|手势
🧏🏻‍♂️	deaf man: light skin tone	People & Body	person-gesture	12.0	erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,deafmanlightskintone,deaf,man,light,skin,tone,deafman,manlight,lightskin,skintone,peoplebody,persongesture	耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|浅肤色|人物|人|身体|手势
🧏🏼‍♂️	deaf man: medium-light skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,deafmanmediumlightskintone,deaf,man,medium,light,skin,tone,deafman,manmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|浅肤色|中浅肤色|人物|人|身体|手势
🧏🏽‍♂️	deaf man: medium skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,deafmanmediumskintone,deaf,man,medium,skin,tone,deafman,manmedium,mediumskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|中等肤色|人物|人|身体|手势
🧏🏾‍♂️	deaf man: medium-dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafmanmediumdarkskintone,deaf,man,medium,dark,skin,tone,deafman,manmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|中深肤色|深肤色|人物|人|身体|手势
🧏🏿‍♂️	deaf man: dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafmandarkskintone,deaf,man,dark,skin,tone,deafman,mandark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|深肤色|人物|人|身体|手势
🧏‍♀️	deaf woman	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,renwu,rw,ren,shenti,st,shoushi,ss,deafwoman,deaf,woman,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|人物|人|身体|手势
🧏🏻‍♀️	deaf woman: light skin tone	People & Body	person-gesture	12.0	erlongnv,eln,tingbujiannv,tbjn,longyarennv,lyrn,longyanv,lyn,longnv,ln,longzinv,lzn,erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,tingbujiannan,longyarennan,longyanan,longzinan,longnan,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,deafwomanlightskintone,deaf,woman,light,skin,tone,deafwoman,womanlight,lightskin,skintone,peoplebody,persongesture	耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|浅肤色|人物|人|身体|手势
🧏🏼‍♀️	deaf woman: medium-light skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,deafwomanmediumlightskintone,deaf,woman,medium,light,skin,tone,deafwoman,womanmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|浅肤色|中浅肤色|人物|人|身体|手势
🧏🏽‍♀️	deaf woman: medium skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,deafwomanmediumskintone,deaf,woman,medium,skin,tone,deafwoman,womanmedium,mediumskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|中等肤色|人物|人|身体|手势
🧏🏾‍♀️	deaf woman: medium-dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafwomanmediumdarkskintone,deaf,woman,medium,dark,skin,tone,deafwoman,womanmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|中深肤色|深肤色|人物|人|身体|手势
🧏🏿‍♀️	deaf woman: dark skin tone	People & Body	person-gesture	12.0	erlong,el,tingbujian,tbj,long,longya,ly,longyaren,lyr,longzi,lz,erlongnan,eln,tingbujiannan,tbjn,longyarennan,lyrn,longyanan,lyn,longzinan,lzn,longnan,ln,erlongnv,tingbujiannv,longyarennv,longyanv,longnv,longzinv,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,deafwomandarkskintone,deaf,woman,dark,skin,tone,deafwoman,womandark,darkskin,skintone,peoplebody,persongesture	耳聋|听不见|聋|聋哑|聋哑人|聋子|耳聋男|听不见男|聋哑人男|聋哑男|聋子男|聋男|耳聋女|听不见女|聋哑人女|聋哑女|聋女|聋子女|深肤色|人物|人|身体|手势
🙇	person bowing	People & Body	person-gesture	0.6	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,renwu,rw,ren,shenti,st,shoushi,ss,personbowing,person,bowing,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|人物|人|身体|手势
🙇🏻	person bowing: light skin tone	People & Body	person-gesture	1.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,personbowinglightskintone,person,bowing,light,skin,tone,personbowing,bowinglight,lightskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|浅肤色|人物|人|身体|手势
🙇🏼	person bowing: medium-light skin tone	People & Body	person-gesture	1.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,personbowingmediumlightskintone,person,bowing,medium,light,skin,tone,personbowing,bowingmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|浅肤色|中浅肤色|人物|人|身体|手势
🙇🏽	person bowing: medium skin tone	People & Body	person-gesture	1.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,personbowingmediumskintone,person,bowing,medium,skin,tone,personbowing,bowingmedium,mediumskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|中等肤色|人物|人|身体|手势
🙇🏾	person bowing: medium-dark skin tone	People & Body	person-gesture	1.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,personbowingmediumdarkskintone,person,bowing,medium,dark,skin,tone,personbowing,bowingmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|中深肤色|深肤色|人物|人|身体|手势
🙇🏿	person bowing: dark skin tone	People & Body	person-gesture	1.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,personbowingdarkskintone,person,bowing,dark,skin,tone,personbowing,bowingdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|深肤色|人物|人|身体|手势
🙇‍♂️	man bowing	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,renwu,rw,ren,shenti,st,shoushi,ss,manbowing,man,bowing,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|人物|人|身体|手势
🙇🏻‍♂️	man bowing: light skin tone	People & Body	person-gesture	4.0	chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,manbowinglightskintone,man,bowing,light,skin,tone,manbowing,bowinglight,lightskin,skintone,peoplebody,persongesture	崇拜男|磕头男|跪拜男|鞠躬男|崇拜|磕头|跪拜|鞠躬|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|浅肤色|人物|人|身体|手势
🙇🏼‍♂️	man bowing: medium-light skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,manbowingmediumlightskintone,man,bowing,medium,light,skin,tone,manbowing,bowingmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|浅肤色|中浅肤色|人物|人|身体|手势
🙇🏽‍♂️	man bowing: medium skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,manbowingmediumskintone,man,bowing,medium,skin,tone,manbowing,bowingmedium,mediumskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|中等肤色|人物|人|身体|手势
🙇🏾‍♂️	man bowing: medium-dark skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,manbowingmediumdarkskintone,man,bowing,medium,dark,skin,tone,manbowing,bowingmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|中深肤色|深肤色|人物|人|身体|手势
🙇🏿‍♂️	man bowing: dark skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nan,nanxing,nx,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,manbowingdarkskintone,man,bowing,dark,skin,tone,manbowing,bowingdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|男|男性|深肤色|人物|人|身体|手势
🙇‍♀️	woman bowing	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nv,nvxing,nx,renwu,rw,ren,shenti,st,shoushi,ss,womanbowing,woman,bowing,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|女|女性|人物|人|身体|手势
🙇🏻‍♀️	woman bowing: light skin tone	People & Body	person-gesture	4.0	chongbainv,cbn,ketounv,ktn,guibainv,gbn,jugongnv,jgn,chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,ketounan,guibainan,jugongnan,nv,nvxing,nx,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,womanbowinglightskintone,woman,bowing,light,skin,tone,womanbowing,bowinglight,lightskin,skintone,peoplebody,persongesture	崇拜女|磕头女|跪拜女|鞠躬女|崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|女|女性|浅肤色|人物|人|身体|手势
🙇🏼‍♀️	woman bowing: medium-light skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nv,nvxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,womanbowingmediumlightskintone,woman,bowing,medium,light,skin,tone,womanbowing,bowingmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|女|女性|浅肤色|中浅肤色|人物|人|身体|手势
🙇🏽‍♀️	woman bowing: medium skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nv,nvxing,nx,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,womanbowingmediumskintone,woman,bowing,medium,skin,tone,womanbowing,bowingmedium,mediumskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|女|女性|中等肤色|人物|人|身体|手势
🙇🏾‍♀️	woman bowing: medium-dark skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nv,nvxing,nx,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,womanbowingmediumdarkskintone,woman,bowing,medium,dark,skin,tone,womanbowing,bowingmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|女|女性|中深肤色|深肤色|人物|人|身体|手势
🙇🏿‍♀️	woman bowing: dark skin tone	People & Body	person-gesture	4.0	chongbai,cb,ketou,kt,guibai,gb,jugong,jg,chongbainan,cbn,ketounan,ktn,guibainan,gbn,jugongnan,jgn,chongbainv,ketounv,guibainv,jugongnv,nv,nvxing,nx,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,womanbowingdarkskintone,woman,bowing,dark,skin,tone,womanbowing,bowingdark,darkskin,skintone,peoplebody,persongesture	崇拜|磕头|跪拜|鞠躬|崇拜男|磕头男|跪拜男|鞠躬男|崇拜女|磕头女|跪拜女|鞠躬女|女|女性|深肤色|人物|人|身体|手势
🤦	person facepalming	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalming,person,facepalming,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|人物|人|身体|手势
🤦🏻	person facepalming: light skin tone	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalminglightskintone,person,facepalming,light,skin,tone,personfacepalming,facepalminglight,lightskin,skintone,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|浅肤色|人物|人|身体|手势
🤦🏼	person facepalming: medium-light skin tone	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,qianfuse,qfs,zhongqianfuse,zqfs,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalmingmediumlightskintone,person,facepalming,medium,light,skin,tone,personfacepalming,facepalmingmedium,mediumlight,lightskin,skintone,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|浅肤色|中浅肤色|人物|人|身体|手势
🤦🏽	person facepalming: medium skin tone	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,zhongdengfuse,zdfs,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalmingmediumskintone,person,facepalming,medium,skin,tone,personfacepalming,facepalmingmedium,mediumskin,skintone,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|中等肤色|人物|人|身体|手势
🤦🏾	person facepalming: medium-dark skin tone	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,zhongshenfuse,zsfs,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalmingmediumdarkskintone,person,facepalming,medium,dark,skin,tone,personfacepalming,facepalmingmedium,mediumdark,darkskin,skintone,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|中深肤色|深肤色|人物|人|身体|手势
🤦🏿	person facepalming: dark skin tone	People & Body	person-gesture	3.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,shenfuse,sfs,renwu,rw,ren,shenti,st,shoushi,ss,personfacepalmingdarkskintone,person,facepalming,dark,skin,tone,personfacepalming,facepalmingdark,darkskin,skintone,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|深肤色|人物|人|身体|手势
🤦‍♂️	man facepalming	People & Body	person-gesture	4.0	damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafannv,jiujienv,toudanv,toutengnv,mafannv,nan,nanxing,nx,renwu,rw,ren,shenti,st,shoushi,ss,manfacepalming,man,facepalming,peoplebody,persongesture	大麻烦|纠结|头大|头疼|麻烦|大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦女|纠结女|头大女|头疼女|麻烦女|男|男性|人物|人|身体|手势
🤦🏻‍♂️	man facepalming: light skin tone	People & Body	person-gesture	4.0	damafannan,dmfn,jiujienan,jjn,toudanan,tdn,toutengnan,ttn,mafannan,mfn,damafan,dmf,jiujie,jj,touda,td,touteng,tt,mafan,mf,damafannv,jiujienv,toudanv,toutengnv,mafannv,nan,nanxing,nx,qianfuse,qfs,renwu,rw,ren,shenti,st,shoushi,ss,manfacepalminglightskintone,man,facepalming,light,skin,tone,manfacepalming,facepalminglight,lightskin,skintone,peoplebody,persongesture	大麻烦男|纠结男|头大男|头疼男|麻烦男|大麻烦|纠结|头大|头疼|麻烦|大麻烦女|纠结女|头大女|头疼女|麻烦女|男|男性|浅肤色|人物|人|身体|手势
