# emoji	name	group	subgroup	version	codes	terms
👨🏻‍❤️‍👨🏻	couple with heart: man, man, light skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanlightskintone,couple,heart,man,light,skin,tone,coupleheart,heartman,manman,manlight,lightskin,skintone,peoplebody,family	男同|男同性恋|男|男性|浅肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏻‍❤️‍👨🏼	couple with heart: man, man, light skin tone, medium-light skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanlightskintonemediumlightskintone,couple,heart,man,light,skin,tone,medium,coupleheart,heartman,manman,manlight,lightskin,skintone,tonemedium,mediumlight,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏻‍❤️‍👨🏽	couple with heart: man, man, light skin tone, medium skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongdengfuse,zdfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanlightskintonemediumskintone,couple,heart,man,light,skin,tone,medium,coupleheart,heartman,manman,manlight,lightskin,skintone,tonemedium,mediumskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中等肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏻‍❤️‍👨🏾	couple with heart: man, man, light skin tone, medium-dark skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanlightskintonemediumdarkskintone,couple,heart,man,light,skin,tone,medium,dark,coupleheart,heartman,manman,manlight,lightskin,skintone,tonemedium,mediumdark,darkskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏻‍❤️‍👨🏿	couple with heart: man, man, light skin tone, dark skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanlightskintonedarkskintone,couple,heart,man,light,skin,tone,dark,coupleheart,heartman,manman,manlight,lightskin,skintone,tonedark,darkskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏼‍❤️‍👨🏻	couple with heart: man, man, medium-light skin tone, light skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanmediumlightskintonelightskintone,couple,heart,man,medium,light,skin,tone,coupleheart,heartman,manman,manmedium,mediumlight,lightskin,skintone,tonelight,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏼‍❤️‍👨🏼	couple with heart: man, man, medium-light skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanmediumlightskintone,couple,heart,man,medium,light,skin,tone,coupleheart,heartman,manman,manmedium,mediumlight,lightskin,skintone,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏼‍❤️‍👨🏽	couple with heart: man, man, medium-light skin tone, medium skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,zhongdengfuse,zdfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanmediumlightskintonemediumskintone,couple,heart,man,medium,light,skin,tone,coupleheart,heartman,manman,manmedium,mediumlight,lightskin,skintone,tonemedium,mediumskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|中等肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏼‍❤️‍👨🏾	couple with heart: man, man, medium-light skin tone, medium-dark skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,zhongshenfuse,zsfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanmediumlightskintonemediumdarkskintone,couple,heart,man,medium,light,skin,tone,dark,coupleheart,heartman,manman,manmedium,mediumlight,lightskin,skintone,tonemedium,mediumdark,darkskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|中深肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
👨🏼‍❤️‍👨🏿	couple with heart: man, man, medium-light skin tone, dark skin tone	People & Body	family	13.1	nantong,nt,nantongxinglian,ntxl,nan,nanxing,nx,qianfuse,qfs,zhongqianfuse,zqfs,shenfuse,sfs,ai,aixin,ax,xihuan,xh,renwu,rw,ren,shenti,st,jiating,jt,jiaren,jr,couplewithheartmanmanmediumlightskintonedarkskintone,couple,heart,man,medium,light,skin,tone,dark,coupleheart,heartman,manman,manmedium,mediumlight,lightskin,skintone,tonedark,darkskin,peoplebody,family	男同|男同性恋|男|男性|浅肤色|中浅肤色|深肤色|爱|爱心|喜欢|人物|人|身体|家庭|家人
